category,n_pkts_dropped,n_bits_dropped,n_pkts_bypassed,n_rx_bits,n_rx_pkts,n_tx_bits,n_tx_pkts,n_rx_offload_bits,n_rx_offload_pkts,n_tx_offload_bits,n_tx_offload_pkts
InboundTrafficMetrics,0,0,5,15608,7,15608,7,0,0,0,0
OutboundTrafficMetrics,0,0,1,30128,15,30128,15,0,0,0,0
InboundTrafficMetrics,0,0,2,59136,15,59136,15,0,0,0,0
OutboundTrafficMetrics,0,0,1,30128,15,30128,15,0,0,0,0
InboundTrafficMetrics,0,0,2,58552,15,58552,15,0,0,0,0
OutboundTrafficMetrics,1,9,2,16824,8,16752,8,0,0,0,0
InboundTrafficMetrics,0,0,3,20792,7,20792,7,0,0,0,0
OutboundTrafficMetrics,1,9,2,16824,8,16752,8,0,0,0,0
InboundTrafficMetrics,0,0,3,20496,7,20496,7,0,0,0,0
OutboundTrafficMetrics,2,26,1,37840,18,37632,17,0,0,0,0
InboundTrafficMetrics,0,0,1,147376,24,147376,24,0,0,0,0
OutboundTrafficMetrics,2,26,1,37840,18,37632,17,0,0,0,0
InboundTrafficMetrics,0,0,1,146792,24,146792,24,0,0,0,0
OutboundTrafficMetrics,0,0,1,81392,77,81392,77,0,0,0,0
InboundTrafficMetrics,0,0,2,2868800,285,2868800,285,0,0,0,0
OutboundTrafficMetrics,0,0,1,81392,77,81392,77,0,0,0,0
InboundTrafficMetrics,0,0,2,2868504,285,2868504,285,0,0,0,0
OutboundTrafficMetrics,0,0,4,16816,9,16816,9,0,0,0,0
InboundTrafficMetrics,0,0,6,60312,11,60312,11,0,0,0,0
OutboundTrafficMetrics,0,0,4,16816,9,16816,9,0,0,0,0
InboundTrafficMetrics,0,0,6,60024,11,60024,11,0,0,0,0
OutboundTrafficMetrics,0,0,1,69144,22,69144,22,0,0,0,0
InboundTrafficMetrics,0,0,1,83320,19,83320,19,0,0,0,0
OutboundTrafficMetrics,0,0,1,69144,22,69144,22,0,0,0,0
InboundTrafficMetrics,0,0,1,82736,19,82736,19,0,0,0,0
OutboundTrafficMetrics,0,0,3,16088,11,16088,11,0,0,0,0
InboundTrafficMetrics,0,0,5,27520,10,27520,10,0,0,0,0
OutboundTrafficMetrics,0,0,3,16088,11,16088,11,0,0,0,0
InboundTrafficMetrics,0,0,5,27232,10,27232,10,0,0,0,0
OutboundTrafficMetrics,7,53,2,88496,45,88072,44,0,0,0,0
InboundTrafficMetrics,0,0,3,322424,72,322424,72,0,0,0,0
OutboundTrafficMetrics,7,53,2,88496,45,88072,44,0,0,0,0
InboundTrafficMetrics,0,0,3,321728,72,321728,72,0,0,0,0
OutboundTrafficMetrics,5,39,6,55416,26,55104,25,0,0,0,0
InboundTrafficMetrics,0,0,1,167328,40,167328,40,0,0,0,0
OutboundTrafficMetrics,5,39,6,55416,26,55104,25,0,0,0,0
InboundTrafficMetrics,0,0,1,166968,39,166968,39,0,0,0,0
OutboundTrafficMetrics,3,273,1,15232,13,13048,9,0,0,0,0
InboundTrafficMetrics,0,0,2,13240,8,13240,8,0,0,0,0
OutboundTrafficMetrics,3,273,1,15232,13,13048,9,0,0,0,0
InboundTrafficMetrics,0,0,2,12952,8,12952,8,0,0,0,0
OutboundTrafficMetrics,9,68,5,20456,14,19904,13,0,0,0,0
InboundTrafficMetrics,0,0,1,20528,9,20528,9,0,0,0,0
OutboundTrafficMetrics,9,68,5,20456,14,19904,13,0,0,0,0
InboundTrafficMetrics,0,0,1,19944,9,19944,9,0,0,0,0
OutboundTrafficMetrics,0,0,3,55144,17,55144,17,0,0,0,0
InboundTrafficMetrics,0,0,9,42280,20,42280,20,0,0,0,0
OutboundTrafficMetrics,0,0,3,55144,17,55144,17,0,0,0,0
InboundTrafficMetrics,0,0,9,41992,20,41992,20,0,0,0,0
OutboundTrafficMetrics,3,20,1,41560,16,41392,16,0,0,0,0
InboundTrafficMetrics,0,0,1,31536,15,31536,15,0,0,0,0
OutboundTrafficMetrics,3,20,1,41560,16,41392,16,0,0,0,0
InboundTrafficMetrics,0,0,1,30952,15,30952,15,0,0,0,0
OutboundTrafficMetrics,0,0,7,31040,10,31040,10,0,0,0,0
InboundTrafficMetrics,0,0,9,22656,8,22656,8,0,0,0,0
OutboundTrafficMetrics,0,0,7,31040,10,31040,10,0,0,0,0
InboundTrafficMetrics,0,0,9,22368,8,22368,8,0,0,0,0
OutboundTrafficMetrics,2,26,1,38200,16,37992,15,0,0,0,0
InboundTrafficMetrics,0,0,2,33640,13,33640,13,0,0,0,0
OutboundTrafficMetrics,2,26,1,38200,16,37992,15,0,0,0,0
InboundTrafficMetrics,0,0,2,33056,13,33056,13,0,0,0,0
OutboundTrafficMetrics,0,0,1,74456,20,74456,20,0,0,0,0
InboundTrafficMetrics,0,0,2,37224,22,37224,22,0,0,0,0
OutboundTrafficMetrics,0,0,1,74456,20,74456,20,0,0,0,0
InboundTrafficMetrics,0,0,2,36936,22,36936,22,0,0,0,0
OutboundTrafficMetrics,0,0,6,33704,12,33704,12,0,0,0,0
InboundTrafficMetrics,0,0,9,24920,10,24920,10,0,0,0,0
OutboundTrafficMetrics,0,0,6,33704,12,33704,12,0,0,0,0
InboundTrafficMetrics,0,0,9,24632,10,24632,10,0,0,0,0
OutboundTrafficMetrics,0,0,8,38904,17,38904,17,0,0,0,0
InboundTrafficMetrics,0,0,1,45160,16,45160,16,0,0,0,0
OutboundTrafficMetrics,0,0,8,38904,17,38904,17,0,0,0,0
InboundTrafficMetrics,0,0,1,44576,16,44576,16,0,0,0,0
OutboundTrafficMetrics,0,0,7,32752,15,32752,15,0,0,0,0
InboundTrafficMetrics,0,0,9,35704,14,35704,14,0,0,0,0
OutboundTrafficMetrics,0,0,7,32752,15,32752,15,0,0,0,0
InboundTrafficMetrics,0,0,9,35416,14,35416,14,0,0,0,0
OutboundTrafficMetrics,0,0,2,18704,10,18704,10,0,0,0,0
InboundTrafficMetrics,1,6,3,26872,9,26824,9,0,0,0,0
OutboundTrafficMetrics,0,0,2,18704,10,18704,10,0,0,0,0
InboundTrafficMetrics,1,6,3,26288,9,26240,9,0,0,0,0
OutboundTrafficMetrics,0,0,3,26672,13,26672,13,0,0,0,0
InboundTrafficMetrics,0,0,1,44536,12,44536,12,0,0,0,0
OutboundTrafficMetrics,0,0,3,26672,13,26672,13,0,0,0,0
InboundTrafficMetrics,0,0,1,44128,12,44128,12,0,0,0,0
OutboundTrafficMetrics,0,0,2,20384,10,20384,10,0,0,0,0
InboundTrafficMetrics,0,0,3,25344,9,25344,9,0,0,0,0
OutboundTrafficMetrics,0,0,2,20384,10,20384,10,0,0,0,0
InboundTrafficMetrics,0,0,3,24760,8,24760,8,0,0,0,0
OutboundTrafficMetrics,0,0,8,22816,11,22816,11,0,0,0,0
InboundTrafficMetrics,0,0,1,28368,10,28368,10,0,0,0,0
OutboundTrafficMetrics,0,0,8,22816,11,22816,11,0,0,0,0
InboundTrafficMetrics,0,0,1,28080,10,28080,10,0,0,0,0
OutboundTrafficMetrics,0,0,2,11016,7,11016,7,0,0,0,0
InboundTrafficMetrics,0,0,3,8760,6,8760,6,0,0,0,0
OutboundTrafficMetrics,0,0,2,11016,7,11016,7,0,0,0,0
InboundTrafficMetrics,0,0,3,8472,5,8472,5,0,0,0,0
OutboundTrafficMetrics,0,0,2,18848,10,18848,10,0,0,0,0
InboundTrafficMetrics,0,0,3,18440,9,18440,9,0,0,0,0
OutboundTrafficMetrics,0,0,2,18848,10,18848,10,0,0,0,0
InboundTrafficMetrics,0,0,3,17856,8,17856,8,0,0,0,0
OutboundTrafficMetrics,0,0,5,13504,8,13504,8,0,0,0,0
InboundTrafficMetrics,0,0,7,15088,6,15088,6,0,0,0,0
OutboundTrafficMetrics,0,0,5,13504,8,13504,8,0,0,0,0
InboundTrafficMetrics,0,0,7,14800,6,14800,6,0,0,0,0
OutboundTrafficMetrics,1,17,1,163448,46,163304,46,0,0,0,0
