category,timestamp,n_pkts,n_bits,n_drops,n_syn_pkts,n_ack_pkts,n_psh_pkts,n_rst_pkts,n_fin_pkts,n_ece_pkts,n_urg_pkts,n_cwr_pkts,n_tcp_payload_misbehaviour_drops,n_tcp_payload_misbehaviour_timeouts,n_out_of_order_drops,n_ssl_renegotiation_requests
InboundTCPMetrics,1685405321000,2,2320,1,2,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405321000,2,2320,1,2,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405321000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405331000,1,1056,0,2,1,3,2,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405331000,1,1056,0,2,1,3,2,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405331000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405341000,3,5792,0,3,2,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405341000,3,5792,0,3,2,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405341000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405351000,3,6080,0,5,2,1,3,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405351000,3,6080,0,5,2,1,3,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405351000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405361000,1,1272,0,0,1,8,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405361000,1,1272,0,0,1,8,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405371000,2,8424,0,0,2,1,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405371000,2,8424,0,0,2,1,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405371000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405381000,2,2280,0,5,2,9,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405381000,2,2280,0,5,2,9,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405381000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405391000,1,1416,0,1,1,5,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405391000,1,1416,0,1,1,5,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405391000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405401000,3,6392,0,4,3,1,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405401000,3,6392,0,4,3,1,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405401000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405411000,7,23856,0,6,7,3,0,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405411000,7,23856,0,6,7,3,0,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405411000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405421000,8,12240,0,4,8,4,4,2,0,0,0,0,0,0,0
